"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2015","2015","2015","date",0,0,"2092957722","Total live births in England and Wales","K04000001","countries",499,0,"1","Live births","1","measures",1000,0,"20100","Value",697852,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32240e0d2092957722d0d0d0d0d0d0d0d1d20100",0,30
"2015","2015","2015","date",0,0,"2092957699","England","E92000001","countries",499,1,"1","Live births","1","measures",1000,0,"20100","Value",664399,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32240e0d2092957699d0d0d0d0d0d0d0d1d20100",1,30
"2015","2015","2015","date",0,0,"2092957700","Wales","W92000004","countries",499,2,"1","Live births","1","measures",1000,0,"20100","Value",33279,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32240e0d2092957700d0d0d0d0d0d0d0d1d20100",2,30
"2016","2016","2016","date",0,1,"2092957722","Total live births in England and Wales","K04000001","countries",499,0,"1","Live births","1","measures",1000,0,"20100","Value",696271,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32256e0d2092957722d0d0d0d0d0d0d0d1d20100",3,30
"2016","2016","2016","date",0,1,"2092957699","England","E92000001","countries",499,1,"1","Live births","1","measures",1000,0,"20100","Value",663157,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32256e0d2092957699d0d0d0d0d0d0d0d1d20100",4,30
"2016","2016","2016","date",0,1,"2092957700","Wales","W92000004","countries",499,2,"1","Live births","1","measures",1000,0,"20100","Value",32936,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32256e0d2092957700d0d0d0d0d0d0d0d1d20100",5,30
"2017","2017","2017","date",0,2,"2092957722","Total live births in England and Wales","K04000001","countries",499,0,"1","Live births","1","measures",1000,0,"20100","Value",679106,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32272e0d2092957722d0d0d0d0d0d0d0d1d20100",6,30
"2017","2017","2017","date",0,2,"2092957699","England","E92000001","countries",499,1,"1","Live births","1","measures",1000,0,"20100","Value",646794,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32272e0d2092957699d0d0d0d0d0d0d0d1d20100",7,30
"2017","2017","2017","date",0,2,"2092957700","Wales","W92000004","countries",499,2,"1","Live births","1","measures",1000,0,"20100","Value",32176,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32272e0d2092957700d0d0d0d0d0d0d0d1d20100",8,30
"2018","2018","2018","date",0,3,"2092957722","Total live births in England and Wales","K04000001","countries",499,0,"1","Live births","1","measures",1000,0,"20100","Value",657076,"A","Normal Value","F","Free (free for publication)","Nm-202d1d32288e0d2092957722d0d0d0d0d0d0d0d1d20100",9,30
