"MONTH","CPI_MONTH"
"2015 JAN","94.7"
"2015 FEB","99.9"
"2015 MAR","100.3"
"2015 APR","100.1"
"2015 MAY","99.2"
"2015 JUN","97.6"
"2015 JUL","100.8"
"2015 AUG","99.1"
"2015 SEP","100.9"
"2015 OCT","102.1"
"2015 NOV","103.4"
"2015 DEC","102.0"
"2016 JAN","96.2"
"2016 FEB","100.9"
"2016 MAR","99.1"
"2016 APR","101.0"
"2016 MAY","101.9"
"2016 JUN","102.7"
"2016 JUL","100.9"
"2016 AUG","103.1"
"2016 SEP","100.7"
"2016 OCT","100.1"
"2016 NOV","99.6"
"2016 DEC","98.6"
"2017 JAN","96.9"
"2017 FEB","102.3"
"2017 MAR","103.0"
"2017 APR","101.7"
"2017 MAY","102.9"
"2017 JUN","101.0"
"2017 JUL","97.8"
"2017 AUG","98.0"
"2017 SEP","97.8"
"2017 OCT","99.3"
"2017 NOV","99.7"
"2017 DEC","103.1"
"2018 JAN","99.3"
"2018 FEB","103.0"
"2018 MAR","102.5"
"2018 APR","103.0"
"2018 MAY","103.9"
"2018 JUN","102.2"
"2018 JUL","102.2"
"2018 AUG","103.3"
"2018 SEP","105.2"
"2018 OCT","106.7"
"2018 NOV","104.4"
"2018 DEC","103.4"
"2019 JAN","102.5"
"2019 FEB","104.5"
"2019 MAR","104.6"
"2019 APR","108.1"
"2019 MAY","105.4"
"2019 JUN","106.4"
"2019 JUL","103.7"
"2019 AUG","104.3"
"2019 SEP","103.8"
"2019 OCT","105.4"
"2019 NOV","106.9"
"2019 DEC","107.1"
"2020 JAN","107.1"
"2020 FEB","109.5"
"2020 MAR","110.4"
"2020 APR","112.1"
"2020 MAY","109.0"
"2020 JUN","109.2"
"2020 JUL","109.3"
"2020 AUG","105.5"
"2020 SEP","106.9"
"2020 OCT","105.2"
"2020 NOV","105.2"
"2020 DEC","108.6"
"2021 JAN","104.0"
"2021 FEB","110.3"
"2021 MAR","111.6"
"2021 APR","109.5"
"2021 MAY","109.1"
"2021 JUN","111.1"
"2021 JUL","111.7"
"2021 AUG","111.6"
"2021 SEP","116.8"
"2021 OCT","119.1"
"2021 NOV","121.2"
"2021 DEC","123.6"
"2022 JAN","123.6"
"2022 FEB","123.6"
"2022 MAR","124.5"
"2022 APR","126.9"
"2022 MAY","126.9"
"2022 JUN","127.5"
"2022 JUL","128.0"
"2022 AUG","128.4"
"2022 SEP","127.6"
"2022 OCT","129.7"
"2022 NOV","128.8"
"2022 DEC","128.3"
"2023 JAN","123.8"
"2023 FEB","127.6"
"2023 MAR","128.5"
"2023 APR","129.6"
"2023 MAY","132.6"
"2023 JUN","130.5"
"2023 JUL","128.3"
"2023 AUG","131.3"
"2023 SEP","132.6"
"2023 OCT","132.3"
"2023 NOV","128.7"
"2023 DEC","131.1"
"2024 JAN","127.0"
"2024 FEB","128.6"
"2024 MAR","129.4"
"2024 APR","127.2"
"2024 MAY","128.2"
"2024 JUN","128.2"
"2024 JUL","127.0"
"2024 AUG","125.4"
"2024 SEP","126.0"
"2024 OCT","126.8"
"2024 NOV","122.4"
"2024 DEC","124.2"
"2025 JAN","122.0"
"2025 FEB","126.1"
"2025 MAR","125.3"
"2025 APR","122.5"
"2025 MAY","123.5"
"2025 JUN","124.0"
"2025 JUL","121.5"
