"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","PROJECTED_YEAR","PROJECTED_YEAR_NAME","PROJECTED_YEAR_CODE","PROJECTED_YEAR_TYPE","PROJECTED_YEAR_TYPECODE","PROJECTED_YEAR_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"0","All Ages","0","Individual age",1000,0,"20100","Value",69867979,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d0d20100",0,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"201","Age 0 - 4","201","5 year age band",2000,1,"20100","Value",3474079,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d1a2a3a4a5d20100",1,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"206","Age 20-24","206","5 year age band",2000,2,"20100","Value",4382895,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d21a22a23a24a25d20100",2,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"207","Age 25-29","207","5 year age band",2000,3,"20100","Value",4630558,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d26a27a28a29a30d20100",3,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"208","Age 30-34","208","5 year age band",2000,4,"20100","Value",4863398,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d31a32a33a34a35d20100",4,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"209","Age 35-39","209","5 year age band",2000,5,"20100","Value",4863442,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d36a37a38a39a40d20100",5,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"210","Age 40-44","210","5 year age band",2000,6,"20100","Value",4571405,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d41a42a43a44a45d20100",6,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2025","2025","2025","Projected Year",1000000,0,"0","Total","0","Sex",1000,0,"211","Age 45-49","211","5 year age band",2000,7,"20100","Value",4188933,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2025d0d46a47a48a49a50d20100",7,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"0","All Ages","0","Individual age",1000,0,"20100","Value",70414300,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d0d20100",8,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"201","Age 0 - 4","201","5 year age band",2000,1,"20100","Value",3462227,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d1a2a3a4a5d20100",9,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"206","Age 20-24","206","5 year age band",2000,2,"20100","Value",4452209,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d21a22a23a24a25d20100",10,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"207","Age 25-29","207","5 year age band",2000,3,"20100","Value",4669136,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d26a27a28a29a30d20100",11,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"208","Age 30-34","208","5 year age band",2000,4,"20100","Value",4876903,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d31a32a33a34a35d20100",12,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"209","Age 35-39","209","5 year age band",2000,5,"20100","Value",4951116,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d36a37a38a39a40d20100",13,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"210","Age 40-44","210","5 year age band",2000,6,"20100","Value",4630534,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d41a42a43a44a45d20100",14,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2026","2026","2026","Projected Year",1000000,1,"0","Total","0","Sex",1000,0,"211","Age 45-49","211","5 year age band",2000,7,"20100","Value",4293418,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2026d0d46a47a48a49a50d20100",15,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"0","All Ages","0","Individual age",1000,0,"20100","Value",70861913,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d0d20100",16,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"201","Age 0 - 4","201","5 year age band",2000,1,"20100","Value",3439118,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d1a2a3a4a5d20100",17,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"206","Age 20-24","206","5 year age band",2000,2,"20100","Value",4505834,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d21a22a23a24a25d20100",18,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"207","Age 25-29","207","5 year age band",2000,3,"20100","Value",4669157,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d26a27a28a29a30d20100",19,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"208","Age 30-34","208","5 year age band",2000,4,"20100","Value",4904577,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d31a32a33a34a35d20100",20,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"209","Age 35-39","209","5 year age band",2000,5,"20100","Value",5017413,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d36a37a38a39a40d20100",21,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"210","Age 40-44","210","5 year age band",2000,6,"20100","Value",4705372,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d41a42a43a44a45d20100",22,336
"2022","2022","2022","date",0,0,"2092957697","United Kingdom","K02000001","countries",499,0,"2027","2027","2027","Projected Year",1000000,2,"0","Total","0","Sex",1000,0,"211","Age 45-49","211","5 year age band",2000,7,"20100","Value",4406574,"A","Normal Value","F","Free (free for publication)","Nm-2009d1d32352e0d2092957697d2027d0d46a47a48a49a50d20100",23,336
